start_chrom,start_pos,stop_chrom,stop_pos,altSiteCount,refSiteCount,avgDepth,avgRefReads,avgAltReads,avgOtherReads
pseudo27,1,pseudo27,50,0,50.0,70.72,70.14,0.0,0.0
pseudo27,51,pseudo27,100,1,49.0,188.1,187.88,0.22,0.0
pseudo27,101,pseudo27,150,0,50.0,215.86,215.86,0.0,0.0
pseudo27,151,pseudo27,200,1,49.0,242.94,240.86,2.02,0.06
pseudo27,201,pseudo27,250,1,49.0,303.08,300.86,2.22,0.0
pseudo27,251,pseudo27,300,0,50.0,338.12,338.04,0.0,0.0
pseudo27,301,pseudo27,350,1,49.0,335.9,331.06,3.8,0.0
pseudo27,351,pseudo27,400,0,50.0,315.12,315.12,0.0,0.0
pseudo27,401,pseudo27,450,0,50.0,292.66,292.64,0.0,0.0
pseudo27,451,pseudo27,500,2,48.0,278.22,274.82,3.36,0.02
pseudo27,501,pseudo27,550,1,49.0,280.78,278.34,2.4,0.0
pseudo27,551,pseudo27,600,1,49.0,262.72,261.06,0.44,0.02
pseudo27,601,pseudo27,650,0,50.0,258.5,258.5,0.0,0.0
pseudo27,651,pseudo27,700,2,48.0,287.58,286.42,1.16,0.0
pseudo27,701,pseudo27,750,0,50.0,298.66,298.66,0.0,0.0
pseudo27,751,pseudo27,800,0,50.0,286.16,286.16,0.0,0.0
pseudo27,801,pseudo27,850,1,49.0,297.74,294.9,2.82,0.02
pseudo27,851,pseudo27,900,0,50.0,300.34,300.34,0.0,0.0
pseudo27,901,pseudo27,950,0,50.0,305.58,305.58,0.0,0.0
pseudo27,951,pseudo27,1000,0,50.0,290.5,290.5,0.0,0.0
pseudo27,1001,pseudo27,1050,1,49.0,267.54,265.82,1.7,0.02
pseudo27,1051,pseudo27,1100,0,50.0,281.34,281.34,0.0,0.0
pseudo27,1101,pseudo27,1150,0,50.0,276.72,276.72,0.0,0.0
pseudo27,1151,pseudo27,1200,0,50.0,244.04,244.04,0.0,0.0
pseudo27,1201,pseudo27,1250,1,49.0,248.42,246.16,2.26,0.0
pseudo27,1251,pseudo27,1300,0,50.0,306.3,306.24,0.0,0.0
pseudo27,1301,pseudo27,1350,1,49.0,339.7,339.14,0.52,0.04
pseudo27,1351,pseudo27,1400,1,49.0,385.78,385.28,0.34,0.02
pseudo27,1401,pseudo27,1450,2,48.0,384.66,383.08,1.3,0.04
pseudo27,1451,pseudo27,1500,2,48.0,362.02,358.18,3.44,0.0
pseudo27,1501,pseudo27,1550,0,50.0,401.5,401.46,0.0,0.0
pseudo27,1551,pseudo27,1600,0,50.0,418.74,418.16,0.0,0.0
pseudo27,1601,pseudo27,1650,2,48.0,477.98,473.84,4.12,0.0
