start_chrom,start_pos,stop_chrom,stop_pos,altSiteCount,refSiteCount,avgDepth,avgRefReads,avgAltReads,avgOtherReads
pseudo23,1,pseudo23,50,0,50.0,85.06,85.06,0.0,0.0
pseudo23,51,pseudo23,100,4,46.0,181.78,176.3,4.98,0.12
pseudo23,101,pseudo23,150,1,49.0,236.34,233.76,2.22,0.02
pseudo23,151,pseudo23,200,1,49.0,251.2,248.98,2.22,0.0
pseudo23,201,pseudo23,250,0,50.0,256.6,256.6,0.0,0.0
pseudo23,251,pseudo23,300,0,50.0,282.68,282.68,0.0,0.0
pseudo23,301,pseudo23,350,0,50.0,294.84,294.84,0.0,0.0
pseudo23,351,pseudo23,400,2,48.0,310.72,304.9,5.8,0.02
pseudo23,401,pseudo23,450,0,50.0,325.78,325.76,0.0,0.0
pseudo23,451,pseudo23,500,1,49.0,323.04,319.78,3.26,0.0
pseudo23,501,pseudo23,550,1,49.0,294.94,291.98,2.96,0.0
pseudo23,551,pseudo23,600,0,50.0,260.34,260.34,0.0,0.0
pseudo23,601,pseudo23,650,0,50.0,276.8,276.74,0.0,0.0
pseudo23,651,pseudo23,700,1,49.0,325.06,321.44,3.62,0.0
pseudo23,701,pseudo23,750,0,50.0,329.16,329.16,0.0,0.0
pseudo23,751,pseudo23,800,0,50.0,306.64,306.26,0.0,0.0
pseudo23,801,pseudo23,850,1,49.0,296.34,292.78,3.4,0.0
pseudo23,851,pseudo23,900,0,50.0,302.6,302.6,0.0,0.0
pseudo23,901,pseudo23,950,2,48.0,311.14,307.94,3.16,0.0
pseudo23,951,pseudo23,1000,2,48.0,321.14,314.88,6.26,0.0
pseudo23,1001,pseudo23,1050,0,50.0,313.8,313.36,0.0,0.0
pseudo23,1051,pseudo23,1100,0,50.0,302.6,302.6,0.0,0.0
pseudo23,1101,pseudo23,1150,1,49.0,315.0,311.9,3.08,0.02
pseudo23,1151,pseudo23,1200,0,50.0,318.28,318.28,0.0,0.0
pseudo23,1201,pseudo23,1250,0,50.0,325.36,325.34,0.0,0.0
pseudo23,1251,pseudo23,1300,0,50.0,330.98,330.98,0.0,0.0
pseudo23,1301,pseudo23,1350,0,50.0,333.9,333.78,0.0,0.0
pseudo23,1351,pseudo23,1400,0,50.0,326.32,326.22,0.0,0.0
pseudo23,1401,pseudo23,1450,0,50.0,317.74,317.56,0.0,0.0
pseudo23,1451,pseudo23,1500,1,49.0,324.92,321.66,3.26,0.0
pseudo23,1501,pseudo23,1550,0,50.0,312.42,312.42,0.0,0.0
pseudo23,1551,pseudo23,1600,1,49.0,300.14,297.26,2.86,0.0
pseudo23,1601,pseudo23,1650,1,49.0,306.94,304.0,2.92,0.02
pseudo23,1651,pseudo23,1700,0,50.0,312.02,312.02,0.0,0.0
pseudo23,1701,pseudo23,1750,1,49.0,314.94,311.9,3.04,0.0
pseudo23,1751,pseudo23,1800,0,50.0,322.96,322.94,0.0,0.0
pseudo23,1801,pseudo23,1850,0,50.0,332.44,332.12,0.0,0.0
pseudo23,1851,pseudo23,1900,1,49.0,303.42,300.3,3.06,0.02
pseudo23,1901,pseudo23,1950,0,50.0,282.58,282.54,0.0,0.0
pseudo23,1951,pseudo23,2000,0,50.0,289.96,289.96,0.0,0.0
pseudo23,2001,pseudo23,2050,1,49.0,286.18,282.78,3.38,0.0
pseudo23,2051,pseudo23,2100,2,48.0,299.98,291.3,3.44,0.02
pseudo23,2101,pseudo23,2150,0,50.0,295.94,295.94,0.0,0.0
pseudo23,2151,pseudo23,2200,2,48.0,270.7,262.86,7.82,0.02
pseudo23,2201,pseudo23,2250,0,50.0,248.38,248.2,0.0,0.0
pseudo23,2251,pseudo23,2300,0,50.0,230.68,230.02,0.0,0.0
pseudo23,2301,pseudo23,2350,1,49.0,222.52,219.96,2.48,0.04
pseudo23,2351,pseudo23,2400,2,48.0,232.74,228.1,4.64,0.0
pseudo23,2401,pseudo23,2450,1,49.0,249.92,247.44,2.42,0.06
pseudo23,2451,pseudo23,2500,0,50.0,241.7,241.62,0.0,0.0
pseudo23,2501,pseudo23,2550,2,48.0,219.08,216.28,2.72,0.06
pseudo23,2551,pseudo23,2600,2,48.0,227.78,223.2,4.52,0.04
pseudo23,2601,pseudo23,2650,1,49.0,251.54,251.46,0.08,0.0
pseudo23,2651,pseudo23,2700,1,49.0,275.96,273.32,2.62,0.0
pseudo23,2701,pseudo23,2750,1,49.0,294.94,292.0,2.94,0.0
pseudo23,2751,pseudo23,2800,0,50.0,309.92,309.92,0.0,0.0
pseudo23,2801,pseudo23,2850,1,49.0,315.2,311.86,3.28,0.02
pseudo23,2851,pseudo23,2900,0,50.0,334.88,334.86,0.0,0.0
pseudo23,2901,pseudo23,2950,1,49.0,357.86,354.04,3.78,0.04
pseudo23,2951,pseudo23,3000,1,49.0,347.06,343.22,3.8,0.04
pseudo23,3001,pseudo23,3050,1,49.0,345.14,341.24,3.48,0.0
pseudo23,3051,pseudo23,3100,1,49.0,349.26,345.58,3.62,0.0
pseudo23,3101,pseudo23,3150,0,50.0,337.36,337.3,0.0,0.0
pseudo23,3151,pseudo23,3200,1,49.0,354.72,347.66,6.92,0.02
pseudo23,3201,pseudo23,3250,0,50.0,376.62,376.4,0.0,0.0
pseudo23,3251,pseudo23,3300,0,50.0,370.26,370.26,0.0,0.0
pseudo23,3301,pseudo23,3350,0,50.0,353.82,353.82,0.0,0.0
