start_chrom,start_pos,stop_chrom,stop_pos,altSiteCount,refSiteCount,avgDepth,avgRefReads,avgAltReads,avgOtherReads
pseudo32,1,pseudo32,50,0,50.0,102.24,99.82,0.0,0.0
pseudo32,51,pseudo32,100,0,50.0,189.4,185.16,0.0,0.0
pseudo32,101,pseudo32,150,0,50.0,220.26,217.02,0.0,0.0
pseudo32,151,pseudo32,200,0,50.0,246.38,246.38,0.0,0.0
pseudo32,201,pseudo32,250,0,50.0,260.96,260.9,0.0,0.0
pseudo32,251,pseudo32,300,0,50.0,271.12,270.06,0.0,0.0
pseudo32,301,pseudo32,350,0,50.0,297.8,297.62,0.0,0.0
pseudo32,351,pseudo32,400,0,50.0,301.6,301.6,0.0,0.0
pseudo32,401,pseudo32,450,0,50.0,284.98,284.98,0.0,0.0
pseudo32,451,pseudo32,500,0,50.0,280.0,280.0,0.0,0.0
pseudo32,501,pseudo32,550,0,50.0,292.34,292.34,0.0,0.0
pseudo32,551,pseudo32,600,0,50.0,301.68,301.68,0.0,0.0
pseudo32,601,pseudo32,650,0,50.0,289.86,289.64,0.0,0.0
pseudo32,651,pseudo32,700,0,50.0,281.06,281.02,0.0,0.0
pseudo32,701,pseudo32,750,0,50.0,280.16,280.16,0.0,0.0
pseudo32,751,pseudo32,800,0,50.0,299.1,298.14,0.0,0.0
pseudo32,801,pseudo32,850,0,50.0,324.5,324.5,0.0,0.0
pseudo32,851,pseudo32,900,0,50.0,311.34,311.34,0.0,0.0
pseudo32,901,pseudo32,950,0,50.0,302.84,302.84,0.0,0.0
pseudo32,951,pseudo32,1000,0,50.0,310.48,310.48,0.0,0.0
pseudo32,1001,pseudo32,1050,0,50.0,300.92,300.92,0.0,0.0
pseudo32,1051,pseudo32,1100,0,50.0,322.88,322.88,0.0,0.0
pseudo32,1101,pseudo32,1150,0,50.0,336.82,336.82,0.0,0.0
pseudo32,1151,pseudo32,1200,0,50.0,317.8,317.8,0.0,0.0
pseudo32,1201,pseudo32,1250,0,50.0,315.02,315.02,0.0,0.0
pseudo32,1251,pseudo32,1300,0,50.0,310.56,310.54,0.0,0.0
pseudo32,1301,pseudo32,1350,0,50.0,289.16,289.16,0.0,0.0
pseudo32,1351,pseudo32,1400,0,50.0,302.8,302.8,0.0,0.0
pseudo32,1401,pseudo32,1450,0,50.0,347.58,347.58,0.0,0.0
pseudo32,1451,pseudo32,1500,0,50.0,350.42,348.42,0.0,0.0
pseudo32,1501,pseudo32,1550,0,50.0,344.1,336.66,0.0,0.0
pseudo32,1551,pseudo32,1600,0,50.0,340.76,330.42,0.0,0.0
pseudo32,1601,pseudo32,1650,0,50.0,341.78,340.64,0.0,0.0
pseudo32,1651,pseudo32,1700,0,50.0,346.52,346.5,0.0,0.0
pseudo32,1701,pseudo32,1750,1,49.0,323.12,316.08,7.04,0.0
pseudo32,1751,pseudo32,1800,0,50.0,293.02,293.02,0.0,0.0
pseudo32,1801,pseudo32,1850,0,50.0,288.4,288.24,0.0,0.0
pseudo32,1851,pseudo32,1900,0,50.0,301.78,300.84,0.0,0.0
pseudo32,1901,pseudo32,1950,0,50.0,323.2,314.14,0.0,0.0
pseudo32,1951,pseudo32,2000,0,50.0,324.42,320.36,0.0,0.0
pseudo32,2001,pseudo32,2050,0,50.0,322.82,322.54,0.0,0.0
pseudo32,2051,pseudo32,2100,0,50.0,333.06,333.06,0.0,0.0
